,b,delta,H,MAPE
215,-9.9,1175,"[-353031.80000000005, -686006.0, -867971.4999999999, -1044601.5, -1397842.0]",0.3231038074490658
216,-9.9,1176,"[-354632.80000000005, -687775.0, -869365.4999999999, -1045830.5, -1397631.0]",0.3220802607473655
217,-9.9,1177,"[-356167.80000000005, -689422.0, -870607.4999999999, -1046877.5, -1397178.0]",0.3210613751569634
218,-9.9,1178,"[-357636.80000000005, -690947.0, -871697.4999999999, -1047742.5, -1396483.0]",0.3200465995378906
219,-9.9,1179,"[-359039.80000000005, -692350.0, -872635.4999999999, -1048425.5, -1395546.0]",0.3190353894032157
220,-9.9,1180,"[-360376.80000000005, -693631.0, -873421.4999999999, -1048926.5, -1394367.0]",0.3180272059349085
221,-9.9,1181,"[-361647.80000000005, -694790.0, -874055.4999999999, -1049245.5, -1392946.0]",0.3170215150197883
222,-9.9,1182,"[-362852.80000000005, -695827.0, -874537.4999999999, -1049382.5, -1391283.0]",0.3160177863019101
223,-9.9,1183,"[-363991.80000000005, -696742.0, -874867.4999999999, -1049337.5, -1389378.0]",0.3150173851148595
224,-9.9,1184,"[-365064.80000000005, -697535.0, -875045.4999999999, -1049110.5, -1387231.0]",0.3141275689263625
225,-9.9,1185,"[-366071.80000000005, -698206.0, -875071.4999999999, -1048701.5, -1384842.0]",0.31323855915242194
226,-9.9,1186,"[-367012.80000000005, -698755.0, -874945.4999999999, -1048110.5, -1382211.0]",0.3123498902365179
227,-9.9,1187,"[-367887.80000000005, -699182.0, -874667.4999999999, -1047337.5, -1379338.0]",0.3114610963506013
228,-9.9,1188,"[-368696.80000000005, -699487.0, -874237.4999999999, -1046382.5, -1376223.0]",0.31057171057918814
229,-9.9,1189,"[-369439.80000000005, -699670.0, -873655.4999999999, -1045245.5, -1372866.0]",0.3096812640980823
230,-9.9,1190,"[-370116.80000000005, -699731.0, -872921.4999999999, -1043926.5, -1369267.0]",0.3087892853446774
231,-9.9,1191,"[-370727.80000000005, -699670.0, -872035.4999999999, -1042425.5, -1365426.0]",0.3078952991767343
232,-9.9,1192,"[-371272.80000000005, -699487.0, -870997.4999999999, -1040742.5, -1361343.0]",0.3069988260164479
233,-9.9,1193,"[-371751.80000000005, -699182.0, -869807.4999999999, -1038877.5, -1357018.0]",0.3060993809765208
234,-9.9,1194,"[-372164.80000000005, -698755.0, -868465.4999999999, -1036830.5, -1352451.0]",0.30519647296483987
235,-9.9,1195,"[-372511.80000000005, -698206.0, -866971.4999999999, -1034601.5, -1347642.0]",0.3042896037642067
236,-9.9,1196,"[-372792.80000000005, -697535.0, -865325.4999999999, -1032190.5, -1342591.0]",0.3033782670834042
237,-9.9,1197,"[-373007.80000000005, -696742.0, -863527.4999999999, -1029597.5, -1337298.0]",0.3024619475756881
238,-9.9,1198,"[-373156.80000000005, -695827.0, -861577.4999999999, -1026822.5, -1331763.0]",0.3015401198205666
239,-9.9,1199,"[-373239.80000000005, -694790.0, -859475.4999999999, -1023865.5, -1325986.0]",0.3006122472644788
240,-9.9,1200,"[-373256.80000000005, -693631.0, -857221.4999999999, -1020726.5, -1319967.0]",0.2996777811156942
241,-9.9,1201,"[-373207.80000000005, -692350.0, -854815.4999999999, -1017405.5, -1313706.0]",0.2987361591884322
242,-9.9,1202,"[-373092.80000000005, -690947.0, -852257.4999999999, -1013902.5, -1307203.0]",0.2977868046908356
243,-9.9,1203,"[-372911.80000000005, -689422.0, -849547.4999999999, -1010217.5, -1300458.0]",0.29682912495102487
244,-9.9,1204,"[-372664.80000000005, -687775.0, -846685.4999999999, -1006350.5, -1293471.0]",0.2958625100750026
245,-9.9,1205,"[-372351.80000000005, -686006.0, -843671.4999999999, -1002301.5, -1286242.0]",0.2948863315296658
246,-9.9,1206,"[-371972.80000000005, -684115.0, -840505.4999999999, -998070.5, -1278771.0]",0.2938999406436157
247,-9.9,1207,"[-371527.80000000005, -682102.0, -837187.4999999999, -993657.5, -1271058.0]",0.2929026670178129
